Guide Name,Guide ID,Guide URL,Author,Views,Subjects,Tags
MKT 561: Customer Centric Research and Innovation,1408122,https://libguides.asu.edu/mkt561,Wes Edens,53,Business and Economics,"marketing, olsen"
MKT Brand Intelligence,1075649,https://libguides.asu.edu/MKTBrands,Wes Edens,125,None,None
Motion Pictures: Research Topics Browse,1044299,https://libguides.asu.edu/motion-pictures,Joe Buenker,162,"Art, Dance, Film and Theater","Educational videos, Featured films, Film and Media Studies, streaming video, Video recordings"
Movement Sciences and Kinesiology,263737,https://libguides.asu.edu/movementscienceskinesiology,Kevin Pardon,87,"Health Sciences, Nursing","activity, exercise, exw, health, healthy, kinesiology, lifestyles, mindfulness, movement sciences, physical, promotion, science, sport, wellness"
Museum Studies,264144,https://libguides.asu.edu/museumstudies,Mimmo Bonanni,55,"Anthropology and Archeology, Art, Dance, Film and Theater","art history, conservation, cultural heritage, cultural institutions, curation, exhibitions, herberger, museology, museum, museum education, museum studies, public history, shesc"
Music Resources,1483462,https://libguides.asu.edu/musicresources,Joe Buenker,207,"Art, Dance, Film and Theater, Arts and Humanities, Humanities, Music","Herberger Institute for Design and the Arts, School of Music Dance and Theatre"
MVS 402 Technology and Warfare,1401581,https://libguides.asu.edu/mvs402,Cami Garland,38,None,None
Native American Heritage Month,1429557,https://libguides.asu.edu/nahm,Eric Hardy,66,None,"Indigenous Peoples, Labriola, Native American Heritage Month"
Naturespace,1147225,https://libguides.asu.edu/NatureSpace,Christina Sullivan,181,"General, Life Sciences, Sciences, Sustainability and Environment","ASU Nature Maker, ASU Nature Space, Biomimicry, Nature, NatureMaker, Naturespace"
New College Writing Program Library Guide,264286,https://libguides.asu.edu/researchandwriting,Mimmo Bonanni,883,Literature,"composition, new college, reading, reflection, research, writing, writing guide"
New York Times Academic Access,958094,https://libguides.asu.edu/NYTgrouppass,Trilby VanDeusen,0,Multidisciplinary,Newspaper
